year,month,Block,TotalPoundsLanded,TotalValue,Season
1998,10,606,90.1,450.5,1
1998,10,627,206,978.5,1
1998,10,650,565,2684,1
1998,10,651,67,335,1
1998,10,652,1850.6,8086.39,1
1998,10,653,4332.95,21085.725,1
1998,10,654,7148.73,36890.405,1
1998,10,655,5715.6,28113.865,1
1998,10,656,1049.9,5038.65,1
1998,10,657,63,315,1
1998,10,658,1226.2,6599.75,1
1998,10,665,2973.25,15920.8,1
1998,10,680,1790.3,9335.225,1
1998,10,681,149.05,826.95,1
1998,10,682,104,549.1,1
1998,10,683,88.8,540,1
1998,10,684,3303.7,17873.8,1
1998,10,685,1465.68,8200.0275,1
1998,10,686,32,160,1
1998,10,687,264.1,1377.4,1
1998,10,688,3873.3,20473.275,1
1998,10,689,16,80,1
1998,10,700,187.8,892.05,1
1998,10,701,61,335.5,1
1998,10,702,103,470,1
1998,10,704,808.2,5104.4,1
1998,10,707,3185.7,17363.275,1
1998,10,708,7945.2,40651,1
1998,10,709,1588.02,8200.86,1
1998,10,710,3205.97,16943.385,1
1998,10,711,1492.7,8082.85,1
1998,10,717,75.5,490.75,1
1998,10,718,1166,5782.75,1
1998,10,719,7008.46,34664.33,1
1998,10,720,4826.2,29678.2,1
1998,10,737,4053.66,21355.345,1
1998,10,738,3593.99,19789.14,1
1998,10,739,5711.5,33397,1
1998,10,740,775.3,4063.3,1
1998,10,745,485.4,2427,1
1998,10,748,885.3,4205.175,1
1998,10,752,196,882,1
1998,10,754,65.9,362.45,1
1998,10,755,118.4,562.4,1
1998,10,756,7162.88,38217.17,1
1998,10,757,21961.2,108022.92,1
1998,10,758,520.1,2732.45,1
1998,10,759,265.5,1713.25,1
1998,10,761,1846,12475,1
1998,10,762,1376.7,7620.475,1
1998,10,765,4086.1,20494.2,1
1998,10,768,119.5,597.5,1
1998,10,770,1020,5100,1
1998,10,797,44,242,1
1998,10,801,3338.4,15875.075,1
1998,10,802,258,1290,1
1998,10,807,1087.02,8037.66,1
1998,10,809,215,1612.5,1
1998,10,813,5827,26929.5,1
1998,10,814,1211.3,6744.575,1
1998,10,820,54,283.5,1
1998,10,821,10042.74,46467.59,1
1998,10,822,147.01,785.0525,1
1998,10,823,877,4260.75,1
1998,10,829,1510.4,7071.975,1
1998,10,842,1191.9,6212.875,1
1998,10,849,6699.9,31318.325,1
1998,10,850,5134.35,25933.6,1
1998,10,852,66,330,1
1998,10,855,926,4861.5,1
1998,10,856,315.2,1339.6,1
1998,10,860,76494.39,375503.7905,1
1998,10,862,28,147,1
1998,10,867,2060,10815,1
1998,10,869,1034,5457,1
1998,10,872,106.74,501.678,1
1998,10,873,2466,0,1
1998,10,880,354.3,1682.925,1
1998,11,606,147.7,812.35,1
1998,11,627,86,537.5,1
1998,11,651,81.4,508.75,1
1998,11,652,1931.35,11229.975,1
1998,11,653,1980.4,11559.85,1
1998,11,654,2812.52,17679.42,1
1998,11,655,2046.11,12436.76,1
1998,11,656,136.7,798.95,1
1998,11,657,345.1,2106.225,1
1998,11,658,2043.96,12287.705,1
1998,11,660,51.5,309,1
1998,11,665,2511.45,15285.4625,1
1998,11,680,1581.8,9581.925,1
1998,11,681,218.6,1420.9,1
1998,11,682,67.85,270.9375,1
1998,11,683,544.5,3119,1
