Month,Year,Season,Block,TotalLegalsRetained,TotalTrapsPulled,meanDepth,maxDepth
1,1999,1998-99,652,532,2819,80.39473684,150
1,1999,1998-99,653,308,1339,49.36708861,95
1,1999,1998-99,654,515,1855,53.80952381,120
1,1999,1998-99,655,734,2014,56.54761905,170
1,1999,1998-99,656,147,389,81.11111111,100
1,1999,1998-99,657,409,661,128.3333333,180
1,1999,1998-99,658,803,1211,91,140
1,1999,1998-99,664,71,38,70,70
1,1999,1998-99,665,140,515,58.7,125
1,1999,1998-99,666,56,250,100,100
1,1999,1998-99,667,0,54,91.42857143,100
1,1999,1998-99,680,712,3015,90.74074074,140
1,1999,1998-99,681,176,900,80,120
1,1999,1998-99,683,315,203,55.55555556,70
1,1999,1998-99,684,932,1476,97.22222222,180
1,1999,1998-99,685,610,1205,87.05128205,150
1,1999,1998-99,686,188,386,77.61904762,120
1,1999,1998-99,687,838,1457,74.84848485,180
1,1999,1998-99,688,2812,4396,71.66666667,100
1,1999,1998-99,689,404,840,84.61538462,100
1,1999,1998-99,701,17,80,70,70
1,1999,1998-99,702,229,160,189.9047619,220
1,1999,1998-99,704,14,21,90,90
1,1999,1998-99,705,367,533,102.0833333,160
1,1999,1998-99,707,98,235,40,60
1,1999,1998-99,708,1907,5980,65.25,160
1,1999,1998-99,709,545,1175,66.12765957,160
1,1999,1998-99,710,669,809,50.64516129,90
1,1999,1998-99,711,1176,2142,63.10344828,90
1,1999,1998-99,712,315,496,79.64285714,90
1,1999,1998-99,718,280,3183,45.94642857,90
1,1999,1998-99,719,1525,7190,68.13095238,120
1,1999,1998-99,720,1970,6739,111.442623,220
1,1999,1998-99,721,62,80,80,80
1,1999,1998-99,730,14,30,150,150
1,1999,1998-99,737,718,3588,29.48571429,40
1,1999,1998-99,738,706,3272,30.18421053,60
1,1999,1998-99,739,170,375,70.44444444,100
1,1999,1998-99,740,523,904,96.41025641,110
1,1999,1998-99,745,7,40,120,120
1,1999,1998-99,754,5,100,35,35
1,1999,1998-99,756,753,3929,35.07692308,90
1,1999,1998-99,757,944,6349,34.36842105,230
1,1999,1998-99,760,27,85,45,45
1,1999,1998-99,762,700,2001,61.27659574,100
1,1999,1998-99,765,1242,1959,65.66666667,85
1,1999,1998-99,801,376,1220,63.23529412,70
1,1999,1998-99,807,671,1839,72.17391304,150
1,1999,1998-99,813,671,1444,83.84615385,100
1,1999,1998-99,814,3515,5612,79.56521739,120
1,1999,1998-99,815,35,50,100,100
1,1999,1998-99,821,440,1564,43.33333333,60
1,1999,1998-99,842,726,2295,58.86206897,100
1,1999,1998-99,850,1296,2454,92.22222222,150
1,1999,1998-99,860,4378,16357,65.7189781,220
1,1999,1998-99,861,14,95,70,70
1,1999,1998-99,862,7,25,160,160
1,1999,1998-99,864,17,25,180,180
1,1999,1998-99,867,635,1892,87.55319149,180
1,1999,1998-99,869,37,75,25,25
1,1999,1998-99,877,148,687,60.83333333,90
1,1999,1998-99,878,411,770,120,120
1,2000,1999-00,651,66,150,35,35
1,2000,1999-00,652,499,2472,89,145
1,2000,1999-00,653,274,1956,41.37254902,95
1,2000,1999-00,654,189,1207,52.42424242,75
1,2000,1999-00,655,250,977,55,125
1,2000,1999-00,656,581,1356,74.09090909,100
1,2000,1999-00,657,391,785,132.5384615,180
1,2000,1999-00,665,928,1880,39.40740741,49
1,2000,1999-00,680,572,1775,89.28571429,230
1,2000,1999-00,683,441,250,54.18181818,60
1,2000,1999-00,684,562,856,91.81818182,180
1,2000,1999-00,685,422,1237,68.97435897,150
1,2000,1999-00,686,211,519,72.69230769,100
1,2000,1999-00,687,520,896,72.2,120
1,2000,1999-00,688,1508,3141,65.49180328,100
1,2000,1999-00,689,819,1165,68.5,90
1,2000,1999-00,690,1175,2740,104.8235294,200
1,2000,1999-00,704,347,472,59,70
1,2000,1999-00,707,268,572,31.875,60
1,2000,1999-00,708,621,3675,50.73529412,100
1,2000,1999-00,709,503,1198,45.54545455,80
1,2000,1999-00,710,978,1680,47.90697674,100
1,2000,1999-00,711,766,2127,53.2,80
1,2000,1999-00,712,255,617,62.5,80
1,2000,1999-00,718,134,432,36.47619048,40
1,2000,1999-00,719,1539,6425,61.36923077,100
1,2000,1999-00,720,908,4488,77.52747253,180
1,2000,1999-00,730,15,130,25,30
1,2000,1999-00,731,4,39,50,50
1,2000,1999-00,736,174,240,24.22222222,28
1,2000,1999-00,737,1694,6918,27.69827586,80
1,2000,1999-00,738,1067,6163,30.36893204,65
1,2000,1999-00,739,181,472,73.07692308,125
1,2000,1999-00,740,137,478,93.42857143,100
1,2000,1999-00,741,8,160,86.25,95
1,2000,1999-00,751,5,28,40,40
1,2000,1999-00,754,54,300,60,85
1,2000,1999-00,755,5,25,15,15
1,2000,1999-00,756,2616,7913,33.17948718,300
1,2000,1999-00,757,1472,7575,31.16666667,50
1,2000,1999-00,758,38,299,30,30
1,2000,1999-00,759,48,280,35,35
1,2000,1999-00,762,226,1128,68,86
1,2000,1999-00,765,360,1269,57.18181818,75
1,2000,1999-00,800,34,110,35,60
1,2000,1999-00,801,834,1357,40.96774194,60
1,2000,1999-00,806,87,88,35,35
1,2000,1999-00,807,774,1828,46.19047619,60
1,2000,1999-00,809,7,10,80,80
1,2000,1999-00,813,2726,4950,93.14285714,160
1,2000,1999-00,814,1676,2675,93.63636364,100
1,2000,1999-00,821,693,2128,39.22222222,60
1,2000,1999-00,822,181,395,28,40
1,2000,1999-00,829,245,596,49.28571429,130
1,2000,1999-00,831,10,25,30,30
1,2000,1999-00,842,2657,3661,45.10869565,86
1,2000,1999-00,850,3051,4051,93.06451613,150
1,2000,1999-00,860,6003,19686,43.61690141,120
1,2000,1999-00,863,12,95,35,35
1,2000,1999-00,866,20,45,30,30
1,2000,1999-00,867,26,100,40,40
1,2000,1999-00,869,0,75,25,25
1,2000,1999-00,877,257,485,65,70
1,2000,1999-00,878,568,864,74.72727273,120
1,2000,1999-00,890,76,100,120,120
1,2000,1999-00,897,410,400,150,150
1,2001,2000-01,651,215,709,70.83333333,80
1,2001,2000-01,652,1045,3030,70.07575758,120
1,2001,2000-01,653,1031,2132,64.01785714,120
1,2001,2000-01,654,725,1505,64.86842105,120
1,2001,2000-01,655,150,374,95,125
1,2001,2000-01,656,81,160,95,120
1,2001,2000-01,657,678,1150,85.38461538,100
1,2001,2000-01,665,151,482,47.42857143,70
1,2001,2000-01,680,1833,2480,67.32142857,140
1,2001,2000-01,683,132,114,58.125,65
1,2001,2000-01,684,595,739,93.4375,180
1,2001,2000-01,685,430,632,74.70588235,120
1,2001,2000-01,686,413,452,69.16666667,100
1,2001,2000-01,687,1183,1367,79.96,99
1,2001,2000-01,688,1750,2235,66.73469388,90
1,2001,2000-01,689,1661,2076,73.46153846,90
1,2001,2000-01,704,502,376,119.6923077,180
1,2001,2000-01,707,657,761,88.75,180
1,2001,2000-01,708,614,2010,63.94736842,120
1,2001,2000-01,709,457,301,62.69230769,100
1,2001,2000-01,710,280,294,52.92307692,80
1,2001,2000-01,711,1157,2194,65.73684211,90
1,2001,2000-01,712,807,1002,67,80
1,2001,2000-01,714,1,3,80,80
1,2001,2000-01,718,54,24,40,40
1,2001,2000-01,719,5176,6847,70.00653595,100
1,2001,2000-01,720,2806,5616,76.93181818,160
1,2001,2000-01,730,19,64,20,20
1,2001,2000-01,733,23,134,36,42
1,2001,2000-01,736,10,42,20,20
1,2001,2000-01,737,1227,5008,31.23529412,60
1,2001,2000-01,738,1312,3951,39.14864865,80
1,2001,2000-01,739,59,195,50,50
1,2001,2000-01,740,346,524,81.875,95
1,2001,2000-01,753,20,100,40,40
1,2001,2000-01,756,1665,5431,31.91358025,40
1,2001,2000-01,757,2531,10468,35.32682927,75
1,2001,2000-01,759,15,80,30,30
1,2001,2000-01,761,173,186,53.33333333,60
1,2001,2000-01,762,673,1651,70.5,160
1,2001,2000-01,765,578,945,80.7,99
1,2001,2000-01,766,0,130,60,60
1,2001,2000-01,767,33,393,32.61111111,37
1,2001,2000-01,777,9,37,15,15
1,2001,2000-01,787,4,50,25,25
1,2001,2000-01,800,8,115,55,60
1,2001,2000-01,801,630,1650,43.18181818,60
1,2001,2000-01,807,711,1948,46.17647059,60
1,2001,2000-01,813,1183,2330,90.55555556,120
1,2001,2000-01,814,1533,2300,100,120
1,2001,2000-01,815,65,100,100,100
1,2001,2000-01,821,267,745,49.5,55
1,2001,2000-01,822,357,1180,53.82352941,65
1,2001,2000-01,829,416,784,130.8823529,140
1,2001,2000-01,837,280,180,60,60
1,2001,2000-01,842,1478,2808,53.325,85
1,2001,2000-01,849,459,402,108.75,150
1,2001,2000-01,850,1567,3451,93.69565217,100
1,2001,2000-01,857,5,35,20,20
1,2001,2000-01,860,6358,15786,50.98545455,120
1,2001,2000-01,861,26,52,52.5,60
1,2001,2000-01,862,15,50,50,50
1,2001,2000-01,866,16,40,40,40
1,2001,2000-01,867,248,486,45.6,65
1,2001,2000-01,877,101,255,58.33333333,70
1,2001,2000-01,878,1357,1490,68.66666667,90
1,2001,2000-01,897,1140,1250,82.85714286,100
1,2002,2001-02,651,163,571,57.2,130
1,2002,2001-02,652,738,1676,68.03703704,120
1,2002,2001-02,653,308,1617,59.29577465,90
1,2002,2001-02,654,371,1481,70.24242424,100
1,2002,2001-02,655,240,956,58.23809524,125
1,2002,2001-02,656,211,567,93.33333333,180
1,2002,2001-02,657,418,573,125.3846154,180
1,2002,2001-02,665,86,200,72.5,90
1,2002,2001-02,680,1093,1272,65.33333333,90
1,2002,2001-02,681,995,1580,85.41666667,120
1,2002,2001-02,683,472,208,60,85
1,2002,2001-02,684,972,1064,86.52173913,180
1,2002,2001-02,685,586,680,92.8,130
1,2002,2001-02,686,312,478,82.10526316,100
1,2002,2001-02,687,940,1256,82,120
1,2002,2001-02,688,3183,4278,69.37837838,95
1,2002,2001-02,689,1878,1748,68.75,180
1,2002,2001-02,702,1,5,240,240
1,2002,2001-02,703,7,16,190,200
1,2002,2001-02,704,610,424,64.28571429,70
1,2002,2001-02,707,380,320,37.85714286,60
1,2002,2001-02,708,957,3812,53.97560976,140
1,2002,2001-02,709,516,784,71.30434783,100
1,2002,2001-02,710,367,365,66,90
1,2002,2001-02,711,1679,2333,65.43478261,90
1,2002,2001-02,712,771,855,63.05555556,80
1,2002,2001-02,714,1,2,60,60
1,2002,2001-02,718,45,234,37.26666667,40
1,2002,2001-02,719,1730,6614,66.14516129,111
1,2002,2001-02,720,2494,6904,80.98657718,176
1,2002,2001-02,733,14,69,20,20
1,2002,2001-02,735,2,11,50,50
1,2002,2001-02,737,458,4208,32.40740741,50
1,2002,2001-02,738,503,3669,38.12903226,65
1,2002,2001-02,739,28,122,44.16666667,50
1,2002,2001-02,740,253,506,60,120
1,2002,2001-02,750,1,10,45,45
1,2002,2001-02,751,5,57,30,30
1,2002,2001-02,756,1392,6021,35.94202899,40
1,2002,2001-02,757,1284,8280,34.41509434,60
1,2002,2001-02,761,30,30,70,70
1,2002,2001-02,762,242,360,52.5,60
1,2002,2001-02,765,825,1233,83.07692308,120
1,2002,2001-02,768,52,87,90,90
1,2002,2001-02,801,460,1275,54.88888889,90
1,2002,2001-02,802,174,506,42,45
1,2002,2001-02,807,374,1840,38.75,40
1,2002,2001-02,813,1081,1773,95.33333333,180
1,2002,2001-02,814,1862,3010,90.52631579,100
1,2002,2001-02,821,838,2890,42.52083333,60
1,2002,2001-02,822,254,840,36,45
1,2002,2001-02,823,40,12,292,292
1,2002,2001-02,842,1083,3279,48.98630137,120
1,2002,2001-02,844,88,150,40,40
1,2002,2001-02,849,614,750,86,150
1,2002,2001-02,850,1156,1797,98.26666667,120
1,2002,2001-02,860,3910,12512,59.01687764,150
1,2002,2001-02,867,1242,2040,98.125,120
1,2002,2001-02,868,147,231,80,100
1,2002,2001-02,874,275,250,100,100
1,2002,2001-02,877,115,75,70,70
1,2002,2001-02,878,261,345,59,75
1,2002,2001-02,892,28,39,25,25
1,2002,2001-02,897,991,150,150,150
1,2003,2002-03,651,295,840,54.44444444,60
1,2003,2002-03,652,962,2728,71.3255814,120
1,2003,2002-03,653,330,1434,55.9137931,95
1,2003,2002-03,654,186,730,70.55555556,90
1,2003,2002-03,655,256,580,55.5,100
1,2003,2002-03,656,172,360,88.875,120
1,2003,2002-03,657,772,775,101.2608696,180
1,2003,2002-03,665,297,442,46,54
1,2003,2002-03,680,1815,2533,43.61111111,90
1,2003,2002-03,681,144,183,47.5,75
1,2003,2002-03,682,10,75,95,95
1,2003,2002-03,683,417,247,54,60
1,2003,2002-03,684,1099,2417,83.21428571,180
1,2003,2002-03,685,881,1276,70.73170732,100
1,2003,2002-03,686,577,658,70.3030303,120
1,2003,2002-03,687,1477,2359,80.36734694,200
1,2003,2002-03,688,3787,6765,64.84810127,117
1,2003,2002-03,689,2653,3552,71.38181818,110
1,2003,2002-03,704,131,66,66.66666667,70
1,2003,2002-03,707,101,312,61.25,120
1,2003,2002-03,708,1143,4649,41.59183673,150
1,2003,2002-03,709,965,2091,54.35714286,200
1,2003,2002-03,710,907,1045,49.41176471,80
1,2003,2002-03,711,2757,4320,57.62790698,65
1,2003,2002-03,712,848,925,62.27272727,75
1,2003,2002-03,717,12,5,60,60
1,2003,2002-03,719,1685,6114,64.69747899,96
1,2003,2002-03,720,2319,6627,80.34013605,180
1,2003,2002-03,728,14,80,20,20
1,2003,2002-03,733,35,158,20,20
1,2003,2002-03,736,9,51,60,60
1,2003,2002-03,737,889,2919,35.01492537,75
1,2003,2002-03,738,488,2490,35.71153846,50
1,2003,2002-03,740,30,139,104,109
1,2003,2002-03,750,5,125,35,35
1,2003,2002-03,752,12,108,30,40
1,2003,2002-03,755,61,88,80,80
1,2003,2002-03,756,1574,7266,34.14285714,75
1,2003,2002-03,757,940,6160,41.74045802,80
1,2003,2002-03,758,2,40,40,40
1,2003,2002-03,761,499,1080,57.42857143,120
1,2003,2002-03,762,996,1814,60.8,120
1,2003,2002-03,765,312,390,81.5,89
1,2003,2002-03,767,55,120,40.66666667,45
1,2003,2002-03,801,476,1406,40.13043478,60
1,2003,2002-03,802,55,68,38,38
1,2003,2002-03,807,819,1762,61.76595745,150
1,2003,2002-03,810,9,150,60,60
1,2003,2002-03,813,2079,3570,92.72727273,200
1,2003,2002-03,814,1919,3235,86.8125,130
1,2003,2002-03,821,1071,2731,49.76666667,120
1,2003,2002-03,822,215,735,40.58333333,45
1,2003,2002-03,829,231,250,126.6666667,140
1,2003,2002-03,842,983,2142,51.70967742,65
1,2003,2002-03,850,2641,4795,143.6097561,260
1,2003,2002-03,860,5199,15844,56.48117155,175
1,2003,2002-03,867,698,930,74.5,150
1,2003,2002-03,869,282,865,75,75
1,2003,2002-03,871,116,200,60,60
1,2003,2002-03,877,488,1200,62.77777778,85
1,2003,2002-03,878,181,860,48.5,90
1,2003,2002-03,897,2470,1710,126.6666667,160
1,2004,2003-04,651,129,516,48.53333333,55
1,2004,2003-04,652,763,2150,72.0212766,130
1,2004,2003-04,653,533,2434,43.30864198,105
1,2004,2003-04,654,436,1755,52.03773585,80
1,2004,2003-04,655,247,895,47.08333333,100
1,2004,2003-04,656,425,905,86.36363636,120
1,2004,2003-04,657,277,835,96.38888889,180
1,2004,2003-04,665,20,75,50,50
1,2004,2003-04,680,1583,3145,68.77777778,301
1,2004,2003-04,681,313,565,53.75,95
1,2004,2003-04,683,120,233,70.5,180
1,2004,2003-04,684,445,1052,84.25,180
1,2004,2003-04,685,480,673,67.62962963,100
1,2004,2003-04,686,482,794,68.5,100
1,2004,2003-04,687,1109,1381,74.79411765,140
1,2004,2003-04,688,3288,4792,61.32352941,100
1,2004,2003-04,689,1851,2990,59.8974359,76
1,2004,2003-04,690,1089,1095,86.36363636,120
1,2004,2003-04,702,13,102,180,180
1,2004,2003-04,704,391,552,112.2222222,180
1,2004,2003-04,707,68,162,27.2,35
1,2004,2003-04,708,1006,3882,51.28205128,140
1,2004,2003-04,709,364,427,66.47058824,100
1,2004,2003-04,710,158,195,48.75,60
1,2004,2003-04,711,1550,3287,64.55555556,90
1,2004,2003-04,712,1240,2286,56.40625,70
1,2004,2003-04,714,96,134,63,89
1,2004,2003-04,718,10,15,30,30
