control_after,year,month,block,total_lbs,total_value ,season
,2003,11,608,858,5982.04,6
,2004,1,643,418.1,3409.06,6
,2003,10,651,628.5,4399.5,6
,2003,10,652,3618.9,24417.83,6
,2003,11,652,3301.4,23689.97,6
,2003,12,652,1532.1,10846.315,6
,2004,1,652,885.8,7097.61,6
,2004,2,652,347.4,2717.975,6
,2004,3,652,562.3,4402.25,6
,2003,10,653,17223.79,113885.5875,6
,2003,11,653,5280.74,36264.836,6
,2003,12,653,2143.8,15129.125,6
,2004,1,653,1028.5,8357.375,6
,2004,2,653,333.58,2771.095,6
,2004,3,653,231.95,1735.025,6
,2004,8,653,514,616.8,6
,2003,10,655,4464.24,30796.68,6
,2003,11,655,3425.3,23644.76,6
,2003,12,655,1359.4,10164.23,6
,2004,1,655,497.9,4090.54,6
,2004,2,655,519.6,4336.81,6
,2004,3,655,81.82,707.415,6
,2003,10,656,1554.7,10882.9,6
,2003,11,656,1127.65,7961.06,6
,2003,12,656,675,4967.71,6
,2004,1,656,653.1,5319.9,6
,2004,2,656,209.1,1716.195,6
,2004,3,656,252.4,1876.05,6
,2003,11,664,72.9,512.775,6
,2004,1,664,14.63,117.04,6
,2003,10,665,4511.22,31856.082,6
,2003,11,665,4616.7,32788.225,6
,2003,12,665,2180.6,16321,6
,2004,1,665,905.4,7344.7,6
,2004,2,665,338.9,2839.97,6
,2004,3,665,171,1368,6
,2003,11,666,250.3,1689.525,6
,2003,10,667,62,372,6
,2003,10,678,589.9,4031.3,6
,2003,10,683,1218.4,8475.44,6
,2003,11,683,229.5,1805.125,6
,2003,12,683,22,176,6
,2004,2,683,67,540.42,6
,2004,3,683,55,495,6
,2003,10,686,323,2260.645,6
,2003,11,686,536.4,3778.3,6
,2003,12,686,1103.7,7989.6,6
,2004,2,686,575.2,4784.45,6
,2004,3,686,88.4,729.3,6
,2004,1,701,227.7,1821.6,6
,2003,12,702,34,255,6
,2004,1,702,32,240,6
,2004,2,702,24,192,6
,2003,10,703,369,2583,6
,2003,10,704,545.5,4364,6
,2003,11,704,350.5,2804,6
,2003,12,704,818,6485.715,6
,2004,1,704,595,5009.5,6
,2004,2,704,87,687.72,6
,2004,3,704,29,232,6
,2003,11,705,286.1,2074.225,6
,2003,10,712,441.1,2977.425,6
,2003,11,712,2283.6,16012.05,6
,2003,12,712,2282.7,16769.195,6
,2004,1,712,1058,8582.19,6
,2004,2,712,1751.6,14281.79,6
,2004,3,712,601.9,4989.255,6
,2004,1,714,5,37.5,6
,2004,2,714,278.5,2297.625,6
,2003,11,717,38,266,6
,2003,10,718,31.15,210.2625,6
,2003,12,718,98.7,715.575,6
,2003,10,719,5545.8,37920.85,6
,2003,11,719,3859.55,27321.03,6
,2003,12,719,4647.9,34153.775,6
,2004,1,719,6030.15,45858.8125,6
,2004,2,719,4278.7,32640.275,6
,2004,3,719,3106,24133.5,6
,2003,12,732,106.35,771.0375,6
,2003,10,733,10.3,69.525,6
,2004,1,734,44,308,6
,2003,12,735,13.45,97.5125,6
,2003,10,739,314.6,2221.8,6
,2003,11,739,52.65,381.7125,6
,2003,12,739,138.5,1004.125,6
,2004,1,739,145.85,1054.1625,6
,2004,2,739,39.4,295.5,6
,2003,10,740,451.1,3229.225,6
