control_before,year,month,block,total_lbs,total_value ,season
,1999,1,605,90,616.5,1
,1998,10,606,90.1,450.5,1
,1998,11,606,147.7,812.35,1
,1998,12,606,51.8,336.7,1
,1998,12,607,177.5,1109.375,1
,1999,1,607,153.5,1228,1
,1998,10,627,206,978.5,1
,1998,11,627,86,537.5,1
,1999,1,630,79,612.25,1
,1998,12,643,87.6,569.4,1
,1999,1,643,448.2,3438.35,1
,1999,2,643,77.5,620,1
,1999,3,643,87.1,696.8,1
,1998,10,650,565,2684,1
,1998,10,651,67,335,1
,1998,11,651,81.4,508.75,1
,1998,10,652,1850.6,8086.39,1
,1998,11,652,1931.35,11229.975,1
,1998,12,652,818.95,5328.425,1
,1999,1,652,935.8,7308.5,1
,1999,2,652,675.1,5386.5,1
,1999,3,652,542.6,4076.8,1
,1998,10,653,4332.95,21085.725,1
,1998,11,653,1980.4,11559.85,1
,1998,12,653,729.3,4845.275,1
,1999,1,653,518,3974,1
,1999,2,653,445.3,3634.9,1
,1999,3,653,234.1,1904.8,1
,1998,10,655,5715.6,28113.865,1
,1998,11,655,2046.11,12436.76,1
,1998,12,655,1801.3,11699.025,1
,1999,1,655,467.3,3353.75,1
,1999,2,655,464.8,3718.4,1
,1999,3,655,583.1,4704.825,1
,1998,10,656,1049.9,5038.65,1
,1998,11,656,136.7,798.95,1
,1998,12,656,276,1771.55,1
,1999,1,656,427.5,3263.2,1
,1999,2,656,749.1,5992.8,1
,1999,3,656,459.7,3677.6,1
,1998,10,658,1226.2,6599.75,1
,1998,11,658,2043.96,12287.705,1
,1998,12,658,813.6,5257.25,1
,1999,1,658,1746.3,12905.425,1
,1999,2,658,529.6,4236.8,1
,1999,1,659,66,0,1
,1998,11,660,51.5,309,1
,1998,12,664,59.1,369.375,1
,1998,10,665,2973.25,15920.8,1
,1998,11,665,2511.45,15285.4625,1
,1998,12,665,1889,12499.6,1
,1999,1,665,1221,9304.525,1
,1999,2,665,626.5,5059.75,1
,1999,3,665,142.2,1165.1,1
,1998,12,666,43,279.5,1
,1999,1,666,60,450,1
,1999,2,666,48.5,379.5,1
,1998,10,682,104,549.1,1
,1998,11,682,67.85,270.9375,1
,1998,12,682,64.3,385.8,1
,1999,1,682,15.5,112.375,1
,1998,10,683,88.8,540,1
,1998,11,683,544.5,3119,1
,1998,12,683,1096,7626,1
,1999,1,683,1066.3,7753.95,1
,1999,2,683,628.6,4916.075,1
,1999,3,683,503.5,3910.25,1
,1998,11,686,711,4108.175,1
,1998,12,686,24.1,156.65,1
,1999,1,686,33.5,268,1
,1999,3,686,2.9,23.2,1
,1998,10,700,187.8,892.05,1
,1999,1,700,26,169,1
,1998,10,701,61,335.5,1
,1998,12,701,263,1643.75,1
,1998,10,702,103,470,1
,1998,11,702,101,505,1
,1998,12,702,101.05,508.3,1
,1999,1,702,834.2,5236.025,1
,1999,2,702,160,1019,1
,1998,10,704,808.2,5104.4,1
,1998,11,704,542.4,3581.45,1
,1998,12,704,393,2847.5,1
,1999,1,704,145.3,1110.4,1
,1999,2,704,161.8,1253.95,1
,1998,11,705,476,2380,1
,1999,1,705,319.6,2507.925,1
,1999,2,705,318.7,2151.6,1
,1999,3,705,61.2,366.6,1
,1999,1,712,201,1708.5,1
,1999,2,712,161.2,1184.82,1
,1999,1,714,35.5,239.625,1
,1999,2,714,68,408,1
,1998,10,717,75.5,490.75,1
,1999,1,717,30.2,203.85,1
,1998,10,718,1166,5782.75,1
,1998,11,718,305,1830,1
,1998,12,718,349,2209.25,1
,1999,1,718,19.32,144.9,1
,1999,2,718,107.33,858.64,1
,1998,10,719,7008.46,34664.33,1
,1998,11,719,5808.3,33784.575,1
,1998,12,719,4268.5,26889.65,1
,1999,1,719,3657.04,24962.1,1
,1999,2,719,2252.44,15211.685,1
,1999,3,719,1629.47,12068.4,1
,1998,12,722,12,72,1
,1998,11,733,61.45,307.25,1
,1998,10,739,5711.5,33397,1
,1998,11,739,840.65,5198.525,1
,1998,12,739,421.75,2579.5,1
,1999,1,739,365,2273.175,1
,1999,3,739,63,531,1
,1998,10,740,775.3,4063.3,1
,1998,11,740,1687.9,10346.8,1
,1998,12,740,345.44,2491.8,1
,1999,1,740,1956.59,13209.15,1
,1999,2,740,2787.65,19495.8,1
,1999,3,740,1975.3,14902.9,1
,1999,2,741,55,330,1
,1999,3,741,40,240,1
,1998,11,742,60.1,345.575,1
,1998,10,745,485.4,2427,1
,1998,11,746,148.6,1040.2,1
,1999,2,746,817.6,6132,1
,1998,10,748,885.3,4205.175,1
,1999,1,750,236.6,1774.5,1
,1999,3,750,33.25,266,1
,1999,2,751,42.8,299.6,1
,1998,10,752,196,882,1
,1998,10,754,65.9,362.45,1
,1998,10,755,118.4,562.4,1
,1998,10,756,7162.88,38217.17,1
,1998,11,756,2115.4,12620.225,1
,1998,12,756,1077.91,7422.63,1
,1999,1,756,250.8,1840.85,1
,1999,2,756,521.55,4069.625,1
,1999,3,756,190.6,1500.475,1
,1998,10,758,520.1,2732.45,1
,1998,10,759,265.5,1713.25,1
,1999,1,759,13.5,33.75,1
,1999,2,760,37,259,1
,1999,1,767,29,203,1
,1998,10,770,1020,5100,1
,1998,11,770,66,396,1
,1998,12,770,329.5,1990.375,1
,1999,1,770,84,547.5,1
,1998,10,797,44,242,1
,1998,11,800,249.1,1307.775,1
,1998,12,800,88.3,519,1
,1999,2,800,32,184,1
,1998,10,801,3338.4,15875.075,1
,1998,11,801,1028.3,5951.2,1
,1998,12,801,463.6,2759.55,1
,1999,1,801,313.1,1944.425,1
,1999,2,801,288.8,1968.1,1
,1999,3,801,85,595,1
,1998,10,802,258,1290,1
,1998,11,802,152,798,1
,1998,10,809,215,1612.5,1
,1999,3,809,32.4,226.8,1
