Block,Month,Year,Season,TotalLegalsRetained,MeanCPUE,TotalShorts,MeanDepth,MaxDepth,MeanNightsInWater,TotalTrapsPulled
652,10,1993,1993-94,246,0.414010733,NA,30.22222222,45,NA,657
653,10,1993,1993-94,1054,0.378902724,NA,24.56521739,40,NA,2770
654,10,1993,1993-94,539,0.536023648,NA,22.32,45,3.04,1154
655,10,1993,1993-94,725,0.54783665,NA,21.38461538,35,3,1394
680,10,1993,1993-94,760,0.560513205,NA,24.28571429,30,3.214285714,1384
681,10,1993,1993-94,622,0.56957483,NA,26.07142857,40,3.285714286,1008
684,10,1993,1993-94,1149,0.81613003,474,42.3,50,3.2,1290
685,10,1993,1993-94,2498,0.8527739,NA,33.33333333,60,3.805555556,3115
686,10,1993,1993-94,458,0.825777778,144,45,60,4.733333333,540
687,10,1993,1993-94,393,0.997619048,255,26.25,60,3.5,460
688,10,1993,1993-94,110,0.339604396,24,54,60,3.6,320
689,10,1993,1993-94,107,0.495432692,16,65,120,4.25,225
708,10,1993,1993-94,3409,0.518706957,3849,52.475,128,NA,6853
709,10,1993,1993-94,1855,0.619799651,NA,44.74509804,165,3.980392157,3425
710,10,1993,1993-94,586,1.376118479,165,23.07692308,35,4.307692308,583
718,10,1993,1993-94,102,0.667588933,61,30.5,40,NA,254
719,10,1993,1993-94,983,0.510644355,NA,47.58024691,95,NA,2785
720,10,1993,1993-94,146,0.466244261,230,80.72727273,140,NA,943
737,10,1993,1993-94,864,0.507658623,NA,39.46428571,90,3.428571429,1986
738,10,1993,1993-94,2197,0.66878733,NA,54.29166667,90,NA,3135
739,10,1993,1993-94,198,0.878709641,28,66.11111111,95,3,220
756,10,1993,1993-94,2485,0.393357341,NA,32.30864198,45,NA,6050
757,10,1993,1993-94,1136,0.311185862,NA,34.45945946,58,NA,3949
762,10,1993,1993-94,1776,1.06035113,1990,40,50,3.416666667,1878
765,10,1993,1993-94,1545,0.898555969,816,64.4,100,4.16,2615
801,10,1993,1993-94,1606,0.874645182,2218,34.44444444,60,4.259259259,2182
807,10,1993,1993-94,898,0.435396825,1346,36.94444444,40,3.277777778,1860
814,10,1993,1993-94,1805,1.681851852,356,28.88888889,60,4,2130
821,10,1993,1993-94,2187,0.647830552,3857,42.87272727,70,NA,4799
822,10,1993,1993-94,356,0.471882916,1097,35.41666667,70,3.791666667,729
829,10,1993,1993-94,136,0.201276072,236,66.63636364,180,NA,872
842,10,1993,1993-94,3387,0.625652412,28850,64.58208955,160,3.925373134,4860
850,10,1993,1993-94,1115,0.3758015,NA,54.23809524,160,NA,2758
860,10,1993,1993-94,7731,0.351298155,NA,65.16164384,210,NA,25098
878,10,1993,1993-94,595,0.63566503,3350,56.42857143,60,3,1038
651,11,1993,1993-94,113,0.230713167,NA,45.875,73,4.125,590
652,11,1993,1993-94,262,0.400155478,NA,41.75,50,3.916666667,753
653,11,1993,1993-94,789,0.38401089,NA,37.48717949,150,3.692307692,2160
654,11,1993,1993-94,323,0.296028749,NA,33.23076923,73,3.615384615,1499
655,11,1993,1993-94,568,0.575315291,NA,44.88888889,70,3.666666667,918
656,11,1993,1993-94,190,0.467089947,179,36.66666667,45,3,385
657,11,1993,1993-94,317,0.599074074,98,48.88888889,60,3.777777778,635
681,11,1993,1993-94,106,0.290972222,33,26.66666667,30,NA,364
683,11,1993,1993-94,255,1.854666667,NA,78.2,150,3.8,124
684,11,1993,1993-94,1070,0.422022118,NA,47.5,75,4.05,2499
685,11,1993,1993-94,1603,0.62233628,NA,41.94444444,70,4.314814815,3158
686,11,1993,1993-94,357,0.564020471,152,45.76923077,70,3.846153846,756
687,11,1993,1993-94,153,0.520952381,44,49.5,70,3.9,290
688,11,1993,1993-94,270,0.633857556,NA,37.14285714,60,3.142857143,467
689,11,1993,1993-94,380,0.808497461,NA,55.55555556,70,3.444444444,534
707,11,1993,1993-94,1465,0.519950657,488,36,40,3.2,2805
708,11,1993,1993-94,2399,0.458136685,NA,72.23404255,150,NA,5985
709,11,1993,1993-94,813,0.445358038,538,37.12121212,75,4.878787879,1803
710,11,1993,1993-94,545,0.871809524,266,25.95,60,4.85,769
718,11,1993,1993-94,330,0.242244614,NA,34.82352941,60,NA,1440
719,11,1993,1993-94,1333,0.342192804,NA,56.1372549,160,NA,4990
720,11,1993,1993-94,751,0.19308437,NA,62.12962963,110,3.259259259,4793
737,11,1993,1993-94,767,0.349000133,NA,50.22727273,105,3.666666667,2628
738,11,1993,1993-94,1123,0.246272845,NA,49.64044944,100,3.640449438,4648
739,11,1993,1993-94,409,0.402898647,NA,37.82608696,95,NA,1105
740,11,1993,1993-94,239,0.833937799,58,103.25,128,3.25,291
756,11,1993,1993-94,1234,0.226817276,NA,36.88372093,240,3.899224806,7126
757,11,1993,1993-94,1858,0.200049087,NA,40.26815642,100,NA,8939
762,11,1993,1993-94,1344,0.685805778,NA,42.8,50,4.2,1932
765,11,1993,1993-94,2005,0.400478985,NA,81.3,150,4.12,4541
801,11,1993,1993-94,1026,0.495344578,1847,49,120,4.553191489,2640
807,11,1993,1993-94,838,0.45951567,NA,37.43589744,50,3.115384615,2284
814,11,1993,1993-94,3267,0.653800754,NA,40,60,3.652173913,4287
821,11,1993,1993-94,1856,0.274669381,4209,47.40697674,175,4.023255814,8006
822,11,1993,1993-94,263,0.403255361,832,43.53333333,140,4,760
842,11,1993,1993-94,2056,0.420751553,43523,56.64814815,140,NA,4477
850,11,1993,1993-94,1581,0.419116668,NA,68.26923077,180,NA,3920
860,11,1993,1993-94,5948,0.283013971,NA,52.49185668,160,NA,20494
877,11,1993,1993-94,838,0.431441265,5112,56.54166667,70,3.166666667,2021
878,11,1993,1993-94,620,0.321791914,4869,52.57692308,62,3.230769231,1835
651,12,1993,1993-94,353,0.504489223,NA,59.33333333,155,3.708333333,1234
652,12,1993,1993-94,183,0.275570717,NA,64.1,90,NA,950
653,12,1993,1993-94,857,0.586653895,NA,42.71428571,150,NA,1319
654,12,1993,1993-94,642,0.256331542,NA,49.625,100,3.75,2487
655,12,1993,1993-94,403,0.597519841,NA,87.5,100,3.833333333,774
657,12,1993,1993-94,821,0.597370059,440,59.44444444,70,4,1500
665,12,1993,1993-94,620,0.517485151,NA,29.50847458,60,3.474576271,1839
680,12,1993,1993-94,214,0.377185185,NA,92,100,4.6,620
684,12,1993,1993-94,1191,0.465420873,NA,67.22222222,120,3.962962963,2753
685,12,1993,1993-94,1371,0.651957398,NA,65.63829787,165,5.468085106,2573
686,12,1993,1993-94,416,0.644444444,NA,57.35294118,100,4.882352941,570
687,12,1993,1993-94,240,0.385133136,120,45,68,5.615384615,625
